expansion,product_label,version,rarity,from_eur,from_cents,available_count,public_product_path,source_date
Legendary Collection Kaiba Mega Pack,Blue Eyes White Dragon V 2,V2,,0.50,50,1087,/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-2,2026-08-04
Legendary Collection Kaiba Mega Pack,Blue Eyes White Dragon V 3,V3,,6.00,600,734,/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-3,2026-08-04
Legendary Collection Kaiba Mega Pack,Blue Eyes White Dragon V 4,V4,,0.10,10,1136,/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-4,2026-08-04
Legendary Decks II,Blue Eyes White Dragon V 1,V1,,0.02,2,445,/en/YuGiOh/Products/Singles/Legendary-Decks-II/Blue-Eyes-White-Dragon-V-1,2026-08-04
Legendary Decks II,Blue Eyes White Dragon V 2,V2,,0.02,2,2018,/en/YuGiOh/Products/Singles/Legendary-Decks-II/Blue-Eyes-White-Dragon-V-2,2026-08-04
Legendary Decks II,Blue Eyes White Dragon V 3,V3,,0.02,2,1837,/en/YuGiOh/Products/Singles/Legendary-Decks-II/Blue-Eyes-White-Dragon-V-3,2026-08-04
Legendary Duelists Season 2,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.85,85,331,/en/YuGiOh/Products/Singles/Legendary-Duelists-Season-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Legendary Duelists Season 2,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,1.49,149,151,/en/YuGiOh/Products/Singles/Legendary-Duelists-Season-2/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Legendary Duelists Season 2,Blue Eyes White Dragon V3 Ultra Rare,V3,Ultra Rare,0.75,75,213,/en/YuGiOh/Products/Singles/Legendary-Duelists-Season-2/Blue-Eyes-White-Dragon-V3-Ultra-Rare,2026-08-04
Legendary Duelists Season 2,Blue Eyes White Dragon V4 Ultra Rare,V4,Ultra Rare,1.00,100,168,/en/YuGiOh/Products/Singles/Legendary-Duelists-Season-2/Blue-Eyes-White-Dragon-V4-Ultra-Rare,2026-08-04
Legendary Duelists White Dragon Abyss,Blue Eyes White Dragon,,,0.02,2,846,/en/YuGiOh/Products/Singles/Legendary-Duelists-White-Dragon-Abyss/Blue-Eyes-White-Dragon,2026-08-04
Legendary Gold Box,Blue Eyes White Dragon,,,12.90,1290,27,/en/YuGiOh/Products/Singles/Legendary-Gold-Box/Blue-Eyes-White-Dragon,2026-08-04
Limited Pack Stamp Edition,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,1.90,190,90,/en/YuGiOh/Products/Singles/Limited-Pack-Stamp-Edition/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Limited Pack Stamp Edition,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,6.75,675,52,/en/YuGiOh/Products/Singles/Limited-Pack-Stamp-Edition/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Limited Pack Stamp Edition,Blue Eyes White Dragon V3 Starlight Rare,V3,Starlight Rare,300.00,30000,4,/en/YuGiOh/Products/Singles/Limited-Pack-Stamp-Edition/Blue-Eyes-White-Dragon-V3-Starlight-Rare,2026-08-04
Magnificent Mavens,Blue Eyes White Dragon V1 Ultra Parallel Rare,V1,Rare,149.66,14966,16,/en/YuGiOh/Products/Singles/Magnificent-Mavens/Blue-Eyes-White-Dragon-V1-Ultra-Parallel-Rare,2026-08-04
Magnificent Mavens,Blue Eyes White Dragon V2 Secret Parallel Rare,V2,Rare,499.00,49900,2,/en/YuGiOh/Products/Singles/Magnificent-Mavens/Blue-Eyes-White-Dragon-V2-Secret-Parallel-Rare,2026-08-04
Maximum Gold,Blue Eyes White Dragon,,,12.99,1299,277,/en/YuGiOh/Products/Singles/Maximum-Gold/Blue-Eyes-White-Dragon,2026-08-04
Maximum Gold El Dorado,Blue Eyes White Dragon,,,0.99,99,876,/en/YuGiOh/Products/Singles/Maximum-Gold-El-Dorado/Blue-Eyes-White-Dragon,2026-08-04
