idProduct,idExpansion,idMetacard,dateAdded,category,name,avg,low,trend,avg1,avg7,avg30,avg_foil,low_foil,trend_foil,avg1_foil,avg7_foil,avg30_foil,fields_present,fields_absent,products_created_at,price_guide_created_at,source_date
293160,1734,102062,2016-10-06 11:38:17,Yugioh Single,Blue-Eyes White Dragon,0.23,0.02,0.32,0.05,0.35,0.23,,,0.21,0.1,0.25,0.25,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
293207,1736,102062,2016-10-17 19:46:27,Yugioh Single,Blue-Eyes White Dragon,0.67,0.02,0.46,0.1,0.38,0.6,,,0.11,0.03,0.17,0.2,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
294985,1711,102062,2017-01-11 14:08:51,Yugioh Single,Blue-Eyes White Dragon,2.33,0.75,2,1.5,1.94,2.16,,,0.65,0.93,0.7,0.65,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
294990,1711,102062,2017-01-11 14:29:40,Yugioh Single,Blue-Eyes White Dragon,2.8,1,3.18,4.89,2.63,2.99,,,1.16,1.8,1.12,1.07,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
296448,1744,102062,2017-03-23 14:27:59,Yugioh Single,Blue-Eyes White Dragon,14.49,6,13.04,14.5,14.26,14.26,,,2.27,3.9,2.25,2.04,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
299166,1831,102062,2017-07-14 11:28:02,Yugioh Single,Blue-Eyes White Dragon,2.52,0.6,3.04,2.99,2.64,2.26,,,0.76,1.11,0.71,0.93,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
300631,1808,102062,2017-08-14 13:07:01,Yugioh Single,Blue-Eyes White Dragon,1.8,0.6,1.76,0.99,1.69,2.11,,,0.44,0.24,0.36,0.42,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
314328,1066,102062,2017-11-30 13:53:54,Yugioh Single,Blue-Eyes White Dragon,249.5,279.99,271.01,250,239.84,155.94,,,34.29,35,52.57,50.64,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
315081,4446,102062,2017-12-14 14:07:59,Yugioh Single,Blue-Eyes White Dragon,4.53,1,4.35,5.5,4.74,4.96,,,19,19,13,13,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
319601,2066,102062,2018-03-05 16:56:54,Yugioh Single,Blue-Eyes White Dragon,1.54,0.3,1.42,2.29,1.35,1.33,,,0.27,0.28,0.24,0.28,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
319602,2066,102062,2018-03-05 16:57:14,Yugioh Single,Blue-Eyes White Dragon,1.87,0.68,1.96,1.99,2.22,2,,,0.47,0.4,0.4,0.44,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
319603,2066,102062,2018-03-05 16:57:22,Yugioh Single,Blue-Eyes White Dragon,11.46,6,12.49,13.45,13.1,11.64,,,1.31,1.36,1.23,1.23,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
319604,2066,102062,2018-03-05 16:57:29,Yugioh Single,Blue-Eyes White Dragon,0.77,0.1,0.83,0.1,0.74,0.77,,,0.28,0.29,0.24,0.27,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
327204,1831,102062,2018-04-04 18:17:20,Yugioh Single,Blue-Eyes White Dragon,39.99,40,29.74,39.99,29.27,18.2,,,17.41,12.49,13.38,13,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
364549,2354,102062,2018-09-26 13:20:25,Yugioh Single,Blue-Eyes White Dragon,0.17,0.02,0.23,0.49,0.27,0.24,,,0.11,0.06,0.07,0.09,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
368144,1711,102062,2019-01-04 15:04:49,Yugioh Single,Blue-Eyes White Dragon,8,7,8.84,8,8.56,9.12,,,4.99,4.99,4.99,4.99,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
369182,2390,102062,2019-01-22 14:45:53,Yugioh Single,Blue-Eyes White Dragon,0.24,0.04,0.16,0.03,0.28,0.3,,,0.39,0.36,0.35,0.29,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
372228,2455,102062,2019-04-15 15:19:21,Yugioh Single,Blue-Eyes White Dragon,13.89,13.5,15.8,13.89,27.12,35.36,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
393872,2622,102062,2019-08-14 14:03:29,Yugioh Single,Blue-Eyes White Dragon,600,999,504.14,600,532,759.22,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
406534,1711,102062,2019-10-08 16:21:47,Yugioh Single,Blue-Eyes White Dragon,6.04,1.89,4.98,4.87,5.65,5.62,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
406564,1711,102062,2019-10-08 16:24:51,Yugioh Single,Blue-Eyes White Dragon,3.03,0.5,2.84,4.9,2.56,2.49,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
442948,2906,102062,2020-03-04 16:04:37,Yugioh Single,Blue-Eyes White Dragon,0.5,0.35,0.66,0.35,0.49,0.59,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
502865,2622,102062,2020-09-18 15:35:09,Yugioh Single,Blue-Eyes White Dragon,90,100,228.28,90,264.69,371.49,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
515184,3339,102062,2020-11-09 13:25:31,Yugioh Single,Blue-Eyes White Dragon,19.29,12.99,21.99,29.99,23.25,19.63,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
518306,3439,102062,2020-11-18 14:46:16,Yugioh Single,Blue-Eyes White Dragon,0.33,0.02,0.22,0.51,0.34,0.42,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
518311,3439,102062,2020-11-18 14:46:30,Yugioh Single,Blue-Eyes White Dragon,3.31,1.29,3.72,2.85,3.02,3.28,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
529572,3535,102062,2021-01-08 15:00:05,Yugioh Single,Blue-Eyes White Dragon,1.73,0.85,1.59,1.45,1.61,1.83,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
534153,3535,102062,2021-01-27 14:15:48,Yugioh Single,Blue-Eyes White Dragon,3.45,1.49,3.43,4.58,3.61,3.48,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
534158,3535,102062,2021-01-27 14:16:15,Yugioh Single,Blue-Eyes White Dragon,2.12,0.75,1.91,2.28,2.13,2.4,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
534163,3535,102062,2021-01-27 14:16:24,Yugioh Single,Blue-Eyes White Dragon,2.57,1,2.35,2.63,2.33,2.65,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
577481,4411,102062,2021-10-12 11:24:22,Yugioh Single,Blue-Eyes White Dragon,59.99,50,112.73,75.5,144.08,122.9,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
577614,4410,102062,2021-10-12 13:53:04,Yugioh Single,Blue-Eyes White Dragon,80.98,12,113.02,13.9,134.7,90.67,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
577731,4410,102062,2021-10-12 16:08:27,Yugioh Single,Blue-Eyes White Dragon,56.66,9,56.81,89.99,44.3,47.12,,,0,,,,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil,avg_foil|low_foil|avg1_foil|avg7_foil|avg30_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
