public_product_path,canonical_url,expansion,product_label,version,rarity,edition,language,finish,printed_code,from_status,from_cents,from_eur,available_count,discovered_via,detail_attempted,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-1,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-1,Kaibas Collector Box,Blue Eyes White Dragon V 1,V1,,,,,,priced,60,0.60,413,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-2,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-2,Kaibas Collector Box,Blue Eyes White Dragon V 2,V2,,,,,,priced,4000,40.00,6,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-25th-Anniversary-Edition/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-25th-Anniversary-Edition/Blue-Eyes-White-Dragon,Legend of Blue Eyes White Dragon 25th Anniversary Edition,Blue Eyes White Dragon,,,,,,,priced,2190,21.90,172,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Japanese/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Japanese/Blue-Eyes-White-Dragon,Legend of Blue Eyes White Dragon Japanese,Blue Eyes White Dragon,,,,,,,priced,1999,19.99,41,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Korean/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Korean/Blue-Eyes-White-Dragon,Legend of Blue Eyes White Dragon Korean,Blue Eyes White Dragon,,,,,,,priced,860,8.60,40,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDB/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDB/Blue-Eyes-White-Dragon,Legend of Blue Eyes White Dragon LDB,Blue Eyes White Dragon,,,,,,,priced,5000,50.00,21,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V1-Ultra-Rare,Legend of Blue Eyes White Dragon LDD,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,1200,12.00,134,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V2-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V2-Ultra-Rare,Legend of Blue Eyes White Dragon LDD,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,,,,,priced,900,9.00,107,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V1-Ultra-Rare,Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,456,4.56,248,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V2-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V2-Ultra-Rare,Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,,,,,priced,999,9.99,91,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V3-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V3-Secret-Rare,Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V3 Secret Rare,V3,Secret Rare,,,,,priced,5000,50.00,3,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V4-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V4-Ultra-Rare,Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V4 Ultra Rare,V4,Ultra Rare,,,,,priced,3798,37.98,7,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V1-Ultra-Rare,Legendary Collection 25th Anniversary Edition,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,10,0.10,2696,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V2-Special,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V2-Special,Legendary Collection 25th Anniversary Edition,Blue Eyes White Dragon V2 Special,V2,,,,,,priced,400,4.00,694,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-1,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-1,Legendary Collection Kaiba Mega Pack,Blue Eyes White Dragon V 1,V1,,,,,,priced,30,0.30,1234,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-2,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legendary-Collection-Kaiba-Mega-Pack/Blue-Eyes-White-Dragon-V-2,Legendary Collection Kaiba Mega Pack,Blue Eyes White Dragon V 2,V2,,,,,,priced,50,0.50,1087,versions|search,no,,,,2026-08-04
