public_product_path,canonical_url,enrichment_status,attempts,expansion,product_label,version,rarity,edition,printed_code,from_status,from_cents,from_eur,available_count,price_trend_cents,price_trend_eur,avg_1d_cents,avg_1d_eur,avg_7d_cents,avg_7d_eur,avg_30d_cents,avg_30d_eur,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Japanese/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Japanese/Blue-Eyes-White-Dragon,pending,0,Legend of Blue Eyes White Dragon Japanese,,,,,,priced,1999,19.99,41,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Korean/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Korean/Blue-Eyes-White-Dragon,pending,0,Legend of Blue Eyes White Dragon Korean,,,,,,priced,860,8.60,40,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDB/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDB/Blue-Eyes-White-Dragon,pending,0,Legend of Blue Eyes White Dragon LDB,,,,,,priced,5000,50.00,21,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,Legend of Blue Eyes White Dragon LDD,,V1,Ultra Rare,,,priced,1200,12.00,134,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V2-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V2-Ultra-Rare,pending,0,Legend of Blue Eyes White Dragon LDD,,V2,Ultra Rare,,,priced,900,9.00,107,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,Legend of Blue Eyes White Dragon,,V1,Ultra Rare,,,priced,456,4.56,248,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V2-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V2-Ultra-Rare,pending,0,Legend of Blue Eyes White Dragon,,V2,Ultra Rare,,,priced,999,9.99,91,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V3-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V3-Secret-Rare,pending,0,Legend of Blue Eyes White Dragon,,V3,Secret Rare,,,priced,5000,50.00,3,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V4-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V4-Ultra-Rare,pending,0,Legend of Blue Eyes White Dragon,,V4,Ultra Rare,,,priced,3798,37.98,7,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legendary-Collection-25th-Anniversary-Edition/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,Legendary Collection 25th Anniversary Edition,,V1,Ultra Rare,,,priced,10,0.10,2696,,,,,,,,,no,,,2026-08-04
